ParkRegion,Park Name,Endangered,Extinct,In Recovery,No Concern,Proposed Endangered,Proposed Threatened,Species of Concern,Threatened,Under Review
Alaska,Denali National Park and Preserve,0,0,0,1288,0,0,30,1,1
Alaska,Gates Of The Arctic National Park and Preserve,0,0,0,1332,0,0,21,0,0
Alaska,Glacier Bay National Park and Preserve,9,0,1,1896,0,0,47,3,1
Alaska,Katmai National Park and Preserve,6,0,0,1184,0,0,31,2,2
Alaska,Kenai Fjords National Park,8,0,0,1009,0,0,36,2,2
Alaska,Kobuk Valley National Park,0,0,0,1002,0,0,22,1,0
Alaska,Lake Clark National Park and Preserve,3,0,0,1965,0,0,36,2,1
Alaska,Wrangell - St Elias National Park and Preserve,5,0,1,1745,0,0,40,3,2
Intermountain,Arches National Park,2,0,1,973,0,0,69,2,1
Intermountain,Big Bend National Park,11,0,2,2131,0,0,116,5,4
Intermountain,Black Canyon of the Gunnison National Park,2,0,1,1040,0,0,61,1,1
Intermountain,Bryce Canyon National Park,2,0,1,1213,0,0,69,1,0
Intermountain,Canyonlands National Park,7,0,1,1143,0,0,69,3,0
Intermountain,Capitol Reef National Park,6,0,2,1473,0,0,80,5,0
Intermountain,Carlsbad Caverns National Park,4,0,1,1432,0,1,94,2,2
Intermountain,Glacier National Park,0,0,2,2473,0,0,75,2,4
Intermountain,Grand Canyon National Park,11,0,3,2487,0,0,114,4,3
Intermountain,Grand Teton National Park,3,0,2,1944,0,0,77,1,3
Intermountain,Great Sand Dunes National Park and Preserve,0,0,1,892,0,0,59,0,0
Intermountain,Guadalupe Mountains National Park,2,0,1,1655,0,1,83,2,2
Intermountain,Mesa Verde National Park,6,0,1,1153,0,0,78,4,1
Intermountain,Petrified Forest National Park,4,0,2,772,0,0,74,1,0
Intermountain,Rocky Mountain National Park,2,0,1,3079,0,0,65,2,3
Intermountain,Saguaro National Park,1,0,0,1739,0,0,91,2,1
Intermountain,Zion National Park,5,0,1,1697,0,0,89,3,1
Midwest,Badlands National Park,2,0,1,1320,0,0,62,1,3
Midwest,Cuyahoga Valley National Park,1,1,1,1880,0,0,52,1,5
Midwest,Hot Springs National Park,4,0,1,1877,0,0,61,2,5
Midwest,Isle Royale National Park,2,0,1,1332,0,0,58,2,2
Midwest,Theodore Roosevelt National Park,3,0,1,1110,0,0,49,1,1
Midwest,Voyageurs National Park,1,0,1,1395,0,0,52,2,2
Midwest,Wind Cave National Park,3,0,1,1325,0,0,63,1,2
Northeast,Acadia National Park,3,0,2,1634,0,0,65,1,4
Northeast,Shenandoah National Park,4,0,1,4563,0,0,74,6,7
Pacific-West,Channel Islands National Park,24,0,5,1741,0,0,104,8,3
Pacific-West,Crater Lake National Park,4,0,3,3677,0,1,66,5,4
Pacific-West,Great Basin National Park,2,0,1,2553,0,0,89,5,3
Pacific-West,Joshua Tree National Park,6,0,2,2185,0,0,97,3,1
Pacific-West,Lassen Volcanic National Park,6,0,2,1707,0,1,72,3,6
Pacific-West,Mount Rainier National Park,1,0,0,1684,0,0,47,6,5
Pacific-West,North Cascades National Park,3,0,1,3283,0,0,67,6,3
Pacific-West,Olympic National Park,2,0,3,1860,0,0,70,8,5
Pacific-West,Pinnacles National Park,2,0,1,1339,0,0,72,0,2
Pacific-West,Redwood National Park,21,0,7,6141,0,0,124,11,6
Pacific-West,Sequoia and Kings Canyon National Parks,4,0,1,1906,0,1,77,1,5
Pacific-West,Yosemite National Park,4,0,2,1992,0,0,81,5,4
Southeast,Biscayne National Park,13,0,2,1661,0,1,40,8,1
Southeast,Congaree National Park,4,0,1,2272,0,0,37,1,6
Southeast,Dry Tortugas National Park,5,0,1,788,0,0,46,6,2
Southeast,Everglades National Park,16,0,2,1972,2,1,73,6,12
Southeast,Mammoth Cave National Park,13,0,2,2418,0,0,53,1,12